d,Garbage,Filler,isbn13,authors,More filler,title
,,,9780439785969,J.K. Rowling/Mary GrandPré,,Harry Potter and the Half-Blood Prince (Harry Potter #6)
,a,b,9780439785969,J.K. Rowling/Mary GrandPré,c,Harry Potter and the Order of the Phoenix (Harry Potter #5)
,a,b,9780439785969,J.K. Rowling,c,Harry Potter and the Chamber of Secrets (Harry Potter #2)
,a,b,9780439785969,J.K. Rowling/Mary GrandPré,c,Harry Potter and the Prisoner of Azkaban (Harry Potter #3)
,a,b,9780439785969,J.K. Rowling/Mary GrandPré,c,Harry Potter Boxed Set Books 1-5 (Harry Potter #1-5)
,,b,9780439785969,W. Frederick Zimmerman,c,"Unauthorized Harry Potter Book Seven News: \""Half-Blood Prince\"" Analysis and Speculation"
,aa,b,9780439785969,J.K. Rowling,c,Harry Potter Collection (Harry Potter #1-6)
,a,b,9780439785969,Douglas Adams,c,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5)
,a,b,9780439785969,Douglas Adams,c,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5)
,a,b,9780439785969,Douglas Adams,c,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1)